fermion,knot,family,M17,Delta_M17,v_mass_log,support_size,lam_base_SU3,lam_abs_base_SU3,lam_add_SU3,lam_abs_add_SU3,lam_mult_abs_SU3,lam_base_SU2,lam_abs_base_SU2,lam_add_SU2,lam_abs_add_SU2,lam_mult_abs_SU2,lam_base_U1,lam_abs_base_U1,lam_add_U1,lam_abs_add_U1,lam_mult_abs_U1,target_SU3,dev_dex_base_SU3,dev_dex_add_SU3,dev_dex_mult_SU3,target_SU2,dev_dex_base_SU2,dev_dex_add_SU2,dev_dex_mult_SU2,target_U1,dev_dex_base_U1,dev_dex_add_U1,dev_dex_mult_U1,lam_geom_base,target_geom_base,dev_dex_geom_base,lam_geom_add,target_geom_add,dev_dex_geom_add,lam_geom_mult,target_geom_mult,dev_dex_geom_mult
e,3_1,lep,4.3623206108244155,-5.627553655130267,-0.16197401445408885,18,0.0020664312016865443,0.0020664312016865443,-0.16197401445408893,0.16197401445408893,0.0017574239072881102,0.0020664312016865443,0.0020664312016865443,-0.16197401445408893,0.16197401445408893,0.0017574239072881102,0.0020664312016865443,0.0020664312016865443,-0.16197401445408893,0.16197401445408893,0.0017574239072881102,0.008766251349694033,-0.6275929680108602,1.2666314273474535,-0.6979373886999884,0.008766251349694033,-0.6275929680108602,1.2666314273474535,-0.6979373886999884,0.008766251349694033,-0.6275929680108602,1.2666314273474535,-0.6979373886999884,0.002066431201686544,0.008766251349694032,-0.6275929680108602,0.16197401445408893,0.008766251349694032,1.2666314273474535,0.0017574239072881107,0.008766251349694032,-0.6979373886999883
u,4_1,up,5.353449303093464,-4.636424962861219,-0.13344703755337145,81,0.010307618574955919,0.010307618574955919,-0.13344703755337156,0.13344703755337156,0.009019927097587527,0.010307618574955919,0.010307618574955919,-0.13344703755337156,0.13344703755337156,0.009019927097587527,0.010307618574955919,0.010307618574955919,-0.13344703755337156,0.13344703755337156,0.009019927097587527,0.009019927097587527,0.05795531203576529,1.1701059097193358,0.0,0.009019927097587527,0.05795531203576529,1.1701059097193358,0.0,0.009019927097587527,0.05795531203576529,1.1701059097193358,0.0,0.010307618574955916,0.009019927097587525,0.057955312035765205,0.1334470375533716,0.009019927097587525,1.170105909719336,0.009019927097587525,0.009019927097587525,0.0
d,6_1,dn,5.649932187701206,-4.339942078253476,-0.12491357417305067,108,-0.004466242093821905,0.004466242093821905,-0.12937981626687256,0.12937981626687256,0.003941785471338778,-0.004466242093821905,0.004466242093821905,-0.12937981626687256,0.12937981626687256,0.003941785471338778,-0.004466242093821905,0.004466242093821905,-0.12937981626687256,0.12937981626687256,0.003941785471338778,0.00909722766687155,-0.30896680306431074,1.1529574665765974,-0.3632160790424792,0.00909722766687155,-0.30896680306431074,1.1529574665765974,-0.3632160790424792,0.00909722766687155,-0.30896680306431074,1.1529574665765974,-0.3632160790424792,0.004466242093821904,0.009097227666871547,-0.3089668030643107,0.12937981626687253,0.009097227666871547,1.1529574665765974,0.00394178547133878,0.009097227666871547,-0.3632160790424787
s,5_2,dn,6.693869598599081,-3.296004667355602,-0.0948666401686476,108,-0.004466242093821905,0.004466242093821905,-0.09933288226246952,0.09933288226246952,0.004062021353267381,-0.004466242093821905,0.004466242093821905,-0.09933288226246952,0.09933288226246952,0.004062021353267381,-0.004466242093821905,0.004466242093821905,-0.09933288226246952,0.09933288226246952,0.004062021353267381,0.00937471947853529,-0.32201602070053426,1.0251347561086694,-0.3632160790424793,0.00937471947853529,-0.32201602070053426,1.0251347561086694,-0.3632160790424793,0.00937471947853529,-0.32201602070053426,1.0251347561086694,-0.3632160790424793,0.004466242093821904,0.009374719478535286,-0.3220160207005342,0.0993328822624695,0.009374719478535286,1.0251347561086697,0.004062021353267385,0.009374719478535286,-0.36321607904247877
mu,6_3,lep,6.826570140334139,-3.1633041256205434,-0.09104721155325535,18,-0.00048781823442460245,0.00048781823442460245,-0.09153502978767995,0.09153502978767995,0.00044536566082830525,-0.00048781823442460245,0.00048781823442460245,-0.09153502978767995,0.09153502978767995,0.00044536566082830525,-0.00048781823442460245,0.00048781823442460245,-0.09153502978767995,0.09153502978767995,0.00044536566082830525,0.009410594016880467,-1.285359007879668,0.9879702893126159,-1.3249003094499248,0.009410594016880467,-1.285359007879668,0.9879702893126159,-1.3249003094499248,0.009410594016880467,-1.285359007879668,0.9879702893126159,-1.3249003094499248,0.0004878182344246019,0.009410594016880464,-1.2853590078796684,0.09153502978767995,0.009410594016880464,0.987970289312616,0.0004453656608283051,0.009410594016880464,-1.3249003094499248
c,5_1,up,7.6441637308146415,-2.345710535140041,-0.0675149763836568,81,-0.010307618574955924,0.010307618574955924,-0.07782259495861273,0.07782259495861273,0.009634672521915386,-0.010307618574955924,0.010307618574955924,-0.07782259495861273,0.07782259495861273,0.009634672521915386,-0.010307618574955924,0.010307618574955924,-0.07782259495861273,0.07782259495861273,0.009634672521915386,0.009634672521915381,0.029321381689250695,0.9072687502860105,1.9286549331065737e-16,0.009634672521915381,0.029321381689250695,0.9072687502860105,1.9286549331065737e-16,0.009634672521915381,0.029321381689250695,0.9072687502860105,1.9286549331065737e-16,0.010307618574955924,0.009634672521915378,0.029321381689250876,0.07782259495861271,0.009634672521915378,0.9072687502860106,0.009634672521915388,0.009634672521915378,4.821637332766433e-16
tau,6_2,lep,7.946945337627162,-2.0429289283275205,-0.05880022120516563,18,0.0020664312016865443,0.0020664312016865443,-0.05880022120516565,0.05880022120516565,0.0019484278975247186,0.0020664312016865443,0.0020664312016865443,-0.05880022120516565,0.05880022120516565,0.0019484278975247186,0.0020664312016865443,0.0020664312016865443,-0.05880022120516565,0.05880022120516565,0.0019484278975247186,0.009719003261321532,-0.6724007770958946,0.7817572320277617,-0.6979373886999886,0.009719003261321532,-0.6724007770958946,0.7817572320277617,-0.6979373886999886,0.009719003261321532,-0.6724007770958946,0.7817572320277617,-0.6979373886999886,0.002066431201686544,0.009719003261321529,-0.6724007770958945,0.05880022120516565,0.009719003261321529,0.7817572320277618,0.0019484278975247194,0.009719003261321529,-0.6979373886999882
b,7_6,dn,8.432430961699314,-1.5574433042553686,-0.044826821694522526,108,-0.004466242093821905,0.004466242093821905,-0.04929306378834442,0.04929306378834442,0.004270455681195883,-0.004466242093821905,0.004466242093821905,-0.04929306378834442,0.04929306378834442,0.004270455681195883,-0.004466242093821905,0.004466242093821905,-0.04929306378834442,0.04929306378834442,0.004270455681195883,0.009855764058090483,-0.3437480377392871,0.6990955142141826,-0.3632160790424792,0.009855764058090483,-0.3437480377392871,0.6990955142141826,-0.3632160790424792,0.009855764058090483,-0.3437480377392871,0.6990955142141826,-0.3632160790424792,0.004466242093821904,0.00985576405809048,-0.343748037739287,0.04929306378834444,0.00985576405809048,0.6990955142141829,0.004270455681195881,0.00985576405809048,-0.3632160790424792
t,7_7,up,9.989874265954683,0.0,0.0,81,0.010307618574955919,0.010307618574955919,0.010307618574955919,0.010307618574955919,0.010307618574955919,0.010307618574955919,0.010307618574955919,0.010307618574955919,0.010307618574955919,0.010307618574955919,0.010307618574955919,0.010307618574955919,0.010307618574955919,0.010307618574955919,0.010307618574955919,0.010307618574955919,0.0,0.0,0.0,0.010307618574955919,0.0,0.0,0.0,0.010307618574955919,0.0,0.0,0.0,0.010307618574955916,0.010307618574955916,0.0,0.010307618574955916,0.010307618574955916,0.0,0.010307618574955916,0.010307618574955916,0.0
