variant,rms_geom3,max_abs_geom3,n_within_0p13
boundary_only,0.145238110588905,0.3123731926367723,6
boundary_plus_2pi_3over5_Ycode,0.18197004850748155,0.40226737706618604,5
boundary_plus_2pi_Ycode,0.13235323023066425,0.21350081428823378,5
boundary_plus_2pi_Ysm,0.12687890811430463,0.27149853356228426,6
boundary_plus_2pi_3over5_Ysm,0.12791445313013008,0.2267001695588056,5
boundary_plus_2pi_sqrt35_Ycode,0.12791445313013014,0.2267001695588056,5
boundary_plus_2pi_orientation_Ycode,0.25409142702843385,0.559267100621438,4
boundary_plus_chiral_clock_ad_hoc,0.11869141488849574,0.21727327924898415,6
