fermion,knot,family,support_size,n_topo,M17,Delta_M17,coef,lambda_SU3,lambda_SU2,lambda_U1,target_SU3,dev_SU3,target_SU2,dev_SU2,target_U1,dev_U1,lambda_geom,target_geom,dev_geom
e,3_1,lep,18,3.2830118285892795,4.3623206108244155,-5.627553655130267,3.2830118285892795,0.078512612097855,0.078512612097855,0.078512612097855,0.14346152183543162,-0.2617960070217552,0.14346152183543162,-0.2617960070217552,0.14346152183543162,-0.2617960070217552,0.07851261209785501,0.14346152183543162,-0.26179600702175515
u,4_1,up,81,3.3445518763691093,5.353449303093464,-4.636424962861219,3.3445518763691093,0.09035371941370575,0.09035371941370575,0.09035371941370575,0.1476129780729729,-0.21317850714882816,0.1476129780729729,-0.21317850714882816,0.1476129780729729,-0.21317850714882816,0.09035371941370574,0.1476129780729729,-0.21317850714882816
d,6_1,dn,108,4.566023657178559,5.649932187701206,-4.339942078253476,4.566023657178559,0.12983436190121506,0.12983436190121506,0.12983436190121506,0.1488780179247698,-0.059440930366824345,0.1488780179247698,-0.059440930366824345,0.1488780179247698,-0.059440930366824345,0.12983436190121506,0.1488780179247698,-0.059440930366824345
s,5_2,dn,108,5.0437704306503495,6.693869598599081,-3.296004667355602,5.0437704306503495,0.14328165264434636,0.14328165264434636,0.14328165264434636,0.1534192289863874,-0.02968921372884426,0.1534192289863874,-0.02968921372884426,0.1534192289863874,-0.02968921372884426,0.14328165264434636,0.1534192289863874,-0.02968921372884426
mu,6_3,lep,18,5.330187713371007,6.826570140334139,-3.1633041256205434,5.330187713371007,0.1539029528802759,0.1539029528802759,0.1539029528802759,0.15400632324832894,-0.00029160006277677216,0.15400632324832894,-0.00029160006277677216,0.15400632324832894,-0.00029160006277677216,0.15390295288027586,0.15400632324832894,-0.0002916000627768204
c,5_1,up,81,5.34455187636911,7.6441637308146415,-2.345710535140041,5.34455187636911,0.14287620132613627,0.14287620132613627,0.14287620132613627,0.157673414466748,-0.04279857746958634,0.157673414466748,-0.04279857746958634,0.157673414466748,-0.04279857746958634,0.14287620132613627,0.157673414466748,-0.04279857746958634
tau,6_2,lep,18,5.983034804893593,7.946945337627162,-2.0429289283275205,5.983034804893593,0.14138367551375022,0.14138367551375022,0.14138367551375022,0.1590535045109533,-0.05114397488146166,0.1590535045109533,-0.05114397488146166,0.1590535045109533,-0.05114397488146166,0.14138367551375022,0.1590535045109533,-0.05114397488146166
b,7_6,dn,108,6.118800132980395,8.432430961699314,-1.5574433042553686,6.118800132980395,0.1735425082294676,0.1735425082294676,0.1735425082294676,0.1612916233201504,0.03179405717597665,0.1612916233201504,0.03179405717597665,0.1612916233201504,0.03179405717597665,0.1735425082294676,0.1612916233201504,0.03179405717597665
t,7_7,up,81,6.326782259239629,9.989874265954683,0.0,6.326782259239629,0.16868631622272062,0.16868631622272062,0.16868631622272062,0.16868631622272062,0.0,0.16868631622272062,0.0,0.16868631622272062,0.0,0.16868631622272062,0.16868631622272062,0.0
