scheme,chi_kind,sector,sum,C_required,Theta_NLO
user_T_half_Y2,N80,SU3,1.916509759780638,0.012963814493093825,0.024845277
user_T_half_Y2,N80,U1,1.5837371039298078,0.03494754145916192,0.0553477181
user_T_half_Y2,local,SU3,1.8610359475701443,0.01335024024250534,0.024845277
user_T_half_Y2,local,U1,2.9932179993844934,0.018491041451501815,0.0553477181
user_T_half_Y2,delta,SU3,0.055473812210493634,0.44787397890964076,0.024845277
user_T_half_Y2,delta,U1,-1.4094808954546858,-0.039268157715713715,0.0553477181
user_T_half_GUT_3over5_Y2,N80,SU3,1.916509759780638,0.012963814493093825,0.024845277
user_T_half_GUT_3over5_Y2,N80,U1,0.9502422623578847,0.058245902431936544,0.0553477181
user_T_half_GUT_3over5_Y2,local,SU3,1.8610359475701443,0.01335024024250534,0.024845277
user_T_half_GUT_3over5_Y2,local,U1,1.7959307996306961,0.030818402419169687,0.0553477181
user_T_half_GUT_3over5_Y2,delta,SU3,0.055473812210493634,0.44787397890964076,0.024845277
user_T_half_GUT_3over5_Y2,delta,U1,-0.8456885372728113,-0.06544692952618954,0.0553477181
articleV_code_dynkin_loop_weight,N80,SU3,0.6388365865935459,0.03889144347928148,0.024845277
articleV_code_dynkin_loop_weight,N80,U1,1.8960923221634909,0.029190413068519157,0.0553477181
articleV_code_dynkin_loop_weight,local,SU3,0.6203453158567147,0.040050720727516025,0.024845277
articleV_code_dynkin_loop_weight,local,U1,3.6395621479575384,0.015207246325237286,0.0553477181
articleV_code_dynkin_loop_weight,delta,SU3,0.01849127073683121,1.3436219367289224,0.024845277
articleV_code_dynkin_loop_weight,delta,U1,-1.743469825794048,-0.03174572756072355,0.0553477181
