fermion,knot,family,support_size,M17,Delta_M17,eig_SU3,eig_abs_SU3,eig_SU2,eig_abs_SU2,eig_U1,eig_abs_U1,target_SU3,dev_dex_SU3,target_SU2,dev_dex_SU2,target_U1,dev_dex_U1,eig_abs_geom3,target_geom3,dev_dex_geom3
e,3_1,lep,18,4.3623206108244155,-5.627553655130267,0.0020664312016865443,0.0020664312016865443,0.0020664312016865443,0.0020664312016865443,0.0020664312016865443,0.0020664312016865443,0.008766251349694033,-0.6275929680108602,0.008766251349694033,-0.6275929680108602,0.008766251349694033,-0.6275929680108602,0.002066431201686544,0.008766251349694032,-0.6275929680108602
u,4_1,up,81,5.353449303093464,-4.636424962861219,0.010307618574955919,0.010307618574955919,0.010307618574955919,0.010307618574955919,0.010307618574955919,0.010307618574955919,0.009019927097587527,0.05795531203576529,0.009019927097587527,0.05795531203576529,0.009019927097587527,0.05795531203576529,0.010307618574955916,0.009019927097587525,0.057955312035765205
d,6_1,dn,108,5.649932187701206,-4.339942078253476,-0.004466242093821905,0.004466242093821905,-0.004466242093821905,0.004466242093821905,-0.004466242093821905,0.004466242093821905,0.00909722766687155,-0.30896680306431074,0.00909722766687155,-0.30896680306431074,0.00909722766687155,-0.30896680306431074,0.004466242093821904,0.009097227666871547,-0.3089668030643107
s,5_2,dn,108,6.693869598599081,-3.296004667355602,-0.004466242093821905,0.004466242093821905,-0.004466242093821905,0.004466242093821905,-0.004466242093821905,0.004466242093821905,0.00937471947853529,-0.32201602070053426,0.00937471947853529,-0.32201602070053426,0.00937471947853529,-0.32201602070053426,0.004466242093821904,0.009374719478535286,-0.3220160207005342
mu,6_3,lep,18,6.826570140334139,-3.1633041256205434,-0.00048781823442460245,0.00048781823442460245,-0.00048781823442460245,0.00048781823442460245,-0.00048781823442460245,0.00048781823442460245,0.009410594016880467,-1.285359007879668,0.009410594016880467,-1.285359007879668,0.009410594016880467,-1.285359007879668,0.0004878182344246019,0.009410594016880464,-1.2853590078796684
c,5_1,up,81,7.6441637308146415,-2.345710535140041,-0.010307618574955924,0.010307618574955924,-0.010307618574955924,0.010307618574955924,-0.010307618574955924,0.010307618574955924,0.009634672521915381,0.029321381689250695,0.009634672521915381,0.029321381689250695,0.009634672521915381,0.029321381689250695,0.010307618574955924,0.009634672521915378,0.029321381689250876
tau,6_2,lep,18,7.946945337627162,-2.0429289283275205,0.0020664312016865443,0.0020664312016865443,0.0020664312016865443,0.0020664312016865443,0.0020664312016865443,0.0020664312016865443,0.009719003261321532,-0.6724007770958946,0.009719003261321532,-0.6724007770958946,0.009719003261321532,-0.6724007770958946,0.002066431201686544,0.009719003261321529,-0.6724007770958945
b,7_6,dn,108,8.432430961699314,-1.5574433042553686,-0.004466242093821905,0.004466242093821905,-0.004466242093821905,0.004466242093821905,-0.004466242093821905,0.004466242093821905,0.009855764058090483,-0.3437480377392871,0.009855764058090483,-0.3437480377392871,0.009855764058090483,-0.3437480377392871,0.004466242093821904,0.00985576405809048,-0.343748037739287
t,7_7,up,81,9.989874265954683,0.0,0.010307618574955919,0.010307618574955919,0.010307618574955919,0.010307618574955919,0.010307618574955919,0.010307618574955919,0.010307618574955919,0.0,0.010307618574955919,0.0,0.010307618574955919,0.0,0.010307618574955916,0.010307618574955916,0.0
